"","Comuna ","Paso ","Estado","Nota"
"","San Carlos","3","Preparación","No info"
"","Ninhue","3","Preparación","No info"
"","Ránquil","3","Preparación","No info"
"","Chillán","3","Preparación","No info"
"","Chillán Viejo","3","Preparación","No info"
"","Concepción","3","Preparación","No info"
"","Lebu","3","Preparación","No info"
"","Penco","3","Preparación","No info"
"","Tirúa","3","Preparación","No info"
"","Chiguayante","3","Preparación","No info"
"","Laja","3","Preparación","No info"
"","Negrete","3","Preparación","No info"
"","Talcahuano","3","Preparación","No info"
"","Cañete","3","Preparación","No info"
"","Hualqui","3","Preparación","No info"
"","Nacimiento","3","Preparación","No info"
"","Santa Juana","3","Preparación","No info"
"","Cabrero","3","Preparación","No info"
"","Florida","3","Preparación","No info"
"","Mulchén","3","Preparación","No info"
"","Santa Bárbara","3","Preparación","No info"
"","Arauco","3","Preparación","No info"
"","Curanilahue","3","Preparación","No info"
"","Lota","3","Preparación","No info"
"","San Rosendo","3","Preparación","No info"
"","Yumbel","3","Preparación","No info"
"","Antuco","3","Preparación","No info"
"","Coronel","3","Preparación","No info"
"","Los Ángeles","3","Preparación","No info"
"","Quilleco","3","Preparación","No info"
"","Tucapel","3","Preparación","No info"
"","Alto Biobío","3","Preparación","No info"
"","Contulmo","3","Preparación","No info"
"","Los Álamos","3","Preparación","No info"
"","Quilaco","3","Preparación","No info"
"","Tome","3","Preparación","No info"
"","Hualpén","3","Preparación","No info"
"","San Pedro de la Paz","3","Preparación","No info"
"","Cunco","4","Apertura Inicial","No info"
"","Lautaro","4","Apertura Inicial","No info"
"","Pucón","4","Apertura Inicial","No info"
"","Vilcún","4","Apertura Inicial","No info"
"","Collipulli","4","Apertura Inicial","No info"
"","Gorbea","4","Apertura Inicial","No info"
"","Pitrufquén","4","Apertura Inicial","No info"
"","Traiguén","4","Apertura Inicial","No info"
"","Cholchol","4","Apertura Inicial","No info"
"","Galvarino","4","Apertura Inicial","No info"
"","Perquenco","4","Apertura Inicial","No info"
"","Toltén","4","Apertura Inicial","No info"
"","Carahue","4","Apertura Inicial","No info"
"","Freire","4","Apertura Inicial","No info"
"","Melipeuco","4","Apertura Inicial","No info"
"","Teodoro Schmidt","4","Apertura Inicial","No info"
"","Ercilla","4","Apertura Inicial","No info"
"","Lumaco","4","Apertura Inicial","No info"
"","Saavedra","4","Apertura Inicial","No info"
"","Curarrehue","4","Apertura Inicial","No info"
"","Los Sauces","4","Apertura Inicial","No info"
"","Renaico","4","Apertura Inicial","No info"
"","Curacautín","4","Apertura Inicial","No info"
"","Loncoche","4","Apertura Inicial","No info"
"","Purén","4","Apertura Inicial","No info"
"","Villarrica","4","Apertura Inicial","No info"
"","Angol","4","Apertura Inicial","No info"
"","Lonquimay","4","Apertura Inicial","No info"
"","Nueva Imperial","4","Apertura Inicial","No info"
"","Padre Las Casas","4","Apertura Inicial","No info"
"","Temuco","4","Apertura Inicial","No info"
"","Victoria","4","Apertura Inicial","No info"
"","Los Lagos","4","Apertura Inicial","No info"
"","Lanco","4","Apertura Inicial","No info"
"","Valdivia","4","Apertura Inicial","No info"
"","Lago Ranco","4","Apertura Inicial","No info"
"","Río Bueno","4","Apertura Inicial","No info"
"","La Unión","4","Apertura Inicial","No info"
"","Panguipulli","4","Apertura Inicial","No info"
"","Futrono","4","Apertura Inicial","No info"
"","Paillaco","4","Apertura Inicial","No info"
"","Corral","4","Apertura Inicial","No info"
"","Mariquina","4","Apertura Inicial","No info"
"","Máfil","4","Apertura Inicial","No info"
"","Ancud","3","Preparación","No info"
"","Dalcahue","3","Preparación","No info"
"","Maullín","3","Preparación","No info"
"","Puyehue","3","Preparación","No info"
"","San Pablo","3","Preparación","No info"
"","Curaco de Vélez","3","Preparación","No info"
"","Los Muermos","3","Preparación","No info"
"","Purranque","3","Preparación","No info"
"","San Juan de la Costa","3","Preparación","No info"
"","Cochamó","3","Preparación","No info"
"","Llanquihue","3","Preparación","No info"
"","Puqueldón","3","Preparación","No info"
"","Río Negro","3","Preparación","No info"
"","Chonchi","3","Preparación","No info"
"","Hualaihué","3","Preparación","No info"
"","Puerto Varas","3","Preparación","No info"
"","Quinchao","3","Preparación","No info"
"","Chaitén","3","Preparación","No info"
"","Futaleufú","3","Preparación","No info"
"","Puerto Octay","3","Preparación","No info"
"","Quemchi","3","Preparación","No info"
"","Castro","3","Preparación","No info"
"","Frutillar","3","Preparación","No info"
"","Puerto Montt","1","Cuarentena","No info"
"","Quellón","3","Preparación","No info"
"","Calbuco","3","Preparación","No info"
"","Fresia","3","Preparación","No info"
"","Palena","3","Preparación","No info"
"","Queilén","3","Preparación","No info"
"","Osorno","3","Preparación","No info"
"","Lago Verde","4","Apertura Inicial","No info"
"","Guaitecas","4","Apertura Inicial","No info"
"","Coyhaique","4","Apertura Inicial","No info"
"","Cochrane","4","Apertura Inicial","No info"
